iter	Accuracy	MultiClass
66	1	0.2265192658
67	1	0.2190557874
68	1	0.2108725861
69	1	0.2047993805
70	1	0.2014867537
71	1	0.1963034488
72	1	0.1924141752
73	1	0.1874657391
74	1	0.1794448502
75	1	0.1753938262
76	1	0.1708670045
77	1	0.1679773716
78	1	0.1647859309
79	1	0.1599060642
80	1	0.1545268336
81	1	0.1508806678
82	1	0.1482653421
83	1	0.1454840126
84	1	0.1415182256
85	1	0.1386954879
86	1	0.1341801049
87	1	0.1314367208
88	1	0.1281362606
89	1	0.1244301488
90	1	0.1220761021
91	1	0.1197040521
92	1	0.1175102424
93	1	0.1144604779
94	1	0.1116657052
95	1	0.1095475002
96	1	0.1073911807
97	1	0.1054815724
98	1	0.1039400914
99	1	0.1027996008
100	1	0.1003502841
101	1	0.09792445153
102	1	0.0959262446
103	1	0.0934271511
104	1	0.09073191692
105	1	0.0881617002
106	1	0.08693844357
107	1	0.08535159858
108	1	0.08375627015
109	1	0.08173642051
110	1	0.08073688519
111	1	0.07931844611
112	1	0.07779851077
113	1	0.07643542485
114	1	0.07511189807
115	1	0.07349377234
116	1	0.07221425328
117	1	0.07087706057
118	1	0.06961269739
119	1	0.06896091598
120	1	0.06758963724
121	1	0.06686877514
122	1	0.0652429733
123	1	0.06355436538
124	1	0.06234835894
125	1	0.06140517536
126	1	0.06036707733
127	1	0.05946193969
128	1	0.0587031061
129	1	0.05772642259
130	1	0.0565133163
131	1	0.05591048438
132	1	0.05552915859
133	1	0.05472443791
134	1	0.05405149081
135	1	0.05352247361
136	1	0.05268226012
137	1	0.0520134278
138	1	0.05103070753
139	1	0.04998775888
140	1	0.04941303596
141	1	0.04860386806
142	1	0.04792218301
143	1	0.04749175138
144	1	0.04700535011
145	1	0.04660000457
146	1	0.04601200498
147	1	0.04559465947
148	1	0.04527570457
149	1	0.04453361111
150	1	0.0440666117
151	1	0.04365944013
152	1	0.04296416579
153	1	0.0425830726
154	1	0.04207956759
155	1	0.0416319793
156	1	0.04115235142
157	1	0.04064739854
158	1	0.04013445207
159	1	0.03967181215
160	1	0.03931238897
161	1	0.03869051213
162	1	0.03802474376
163	1	0.03761209439
164	1	0.03721844774
165	1	0.03676836833
166	1	0.0362740893
167	1	0.03616417278
168	1	0.0357377932
169	1	0.03529849593
170	1	0.0348017022
171	1	0.03452472643
172	1	0.03399936814
173	1	0.03380883171
174	1	0.03339297042
175	1	0.03307058546
176	1	0.03271358321
177	1	0.0325781796
178	1	0.03212480791
179	1	0.03175129133
180	1	0.03140553121
181	1	0.0311149366
182	1	0.03092273448
183	1	0.03060170989
184	1	0.0302590745
185	1	0.02982021961
186	1	0.02936534598
187	1	0.0291836679
188	1	0.02890761891
189	1	0.0286342126
190	1	0.02835609711
191	1	0.02816197197
192	1	0.02781821727
193	1	0.0276306561
194	1	0.02739641576
195	1	0.02717348006
196	1	0.02687284685
197	1	0.0265602784
198	1	0.02632553972
199	1	0.02604085088
200	1	0.0258081077
201	1	0.02565469109
202	1	0.02537151094
203	1	0.0252406746
204	1	0.02496734797
205	1	0.02478617364
206	1	0.02451210984
207	1	0.02425559784
208	1	0.02404367343
209	1	0.02381628505
210	1	0.02357972104
211	1	0.02340725417
212	1	0.0232776162
213	1	0.02297608804
214	1	0.02280841388
215	1	0.02266029135
216	1	0.02244826855
217	1	0.02220728673
218	1	0.02199883874
219	1	0.02181168443
220	1	0.02169639939
221	1	0.02150986279
222	1	0.02132657007
223	1	0.02115282956
224	1	0.02097293239
225	1	0.02079663552
226	1	0.02063962294
227	1	0.02057290028
228	1	0.02041826516
229	1	0.02022809953
230	1	0.02014431866
231	1	0.01993236231
232	1	0.01976690334
233	1	0.01959981925
234	1	0.01950095405
235	1	0.01936378554
236	1	0.01921555279
237	1	0.01904881093
238	1	0.01891260983
239	1	0.01868098252
240	1	0.01854301599
241	1	0.0184138082
242	1	0.01825434571
243	1	0.01813495106
244	1	0.01801180134
245	1	0.01788571221
246	1	0.01775445081
247	1	0.01766548133
248	1	0.01753151846
249	1	0.01741004715
250	1	0.0173362714
251	1	0.01728389448
252	1	0.01713950696
253	1	0.01705069143
254	1	0.01690541351
255	1	0.01681822193
256	1	0.01663011027
257	1	0.01651778261
258	1	0.01641842181
259	1	0.01635220717
260	1	0.01621807197
261	1	0.01610195908
262	1	0.01600948537
263	1	0.0159046653
264	1	0.01586269666
265	1	0.01575035717
266	1	0.01569397023
267	1	0.01560099266
268	1	0.01549996842
269	1	0.01541433987
270	1	0.01532174552
271	1	0.01521542348
272	1	0.0151476199
273	1	0.01506754622
274	1	0.01496619487
275	1	0.01485905753
276	1	0.01478585305
277	1	0.01473242816
278	1	0.0146104317
279	1	0.01453809921
280	1	0.01443954175
281	1	0.01437352364
282	1	0.01428066736
283	1	0.01417692062
284	1	0.01408216095
285	1	0.01401460026
286	1	0.01390762255
287	1	0.01381680478
288	1	0.01373860964
289	1	0.01370300372
290	1	0.01360877869
291	1	0.01352204768
292	1	0.0134259925
293	1	0.01334946507
294	1	0.01327323078
295	1	0.01322240522
296	1	0.01311267991
297	1	0.01304082564
298	1	0.0129497955
299	1	0.01288324993
